school,sex,age,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,paid,activities,absences,G1,G2,G3
GP,F,18,at_home,teacher,mother,2,2,0,yes,no,no,6,5,6,6
GP,F,17,at_home,other,father,1,2,0,no,no,no,4,5,5,6
GP,F,15,at_home,other,mother,1,2,3,yes,yes,no,10,7,8,10
GP,F,15,health,services,mother,1,3,0,no,yes,yes,2,15,14,15
GP,F,16,other,other,father,1,2,0,no,yes,no,4,6,10,10
GP,M,16,services,other,mother,1,2,0,no,yes,yes,10,15,15,15
GP,M,16,other,other,mother,1,2,0,no,no,no,0,12,12,11
GP,F,17,other,teacher,mother,2,2,0,yes,no,no,6,6,5,6
GP,M,15,services,other,mother,1,2,0,no,yes,no,0,16,18,19
GP,M,15,other,other,mother,1,2,0,no,yes,yes,0,14,15,15
GP,F,15,teacher,health,mother,1,2,0,no,yes,no,0,10,8,9
GP,F,15,services,other,father,3,3,0,no,no,yes,4,10,12,12
GP,M,15,health,services,father,1,1,0,no,yes,yes,2,14,14,14
GP,M,15,teacher,other,mother,2,2,0,no,yes,no,2,10,10,11
GP,M,15,other,other,other,1,3,0,no,no,no,0,14,16,16
GP,F,16,health,other,mother,1,1,0,no,no,no,4,14,14,14
GP,F,16,services,services,mother,1,3,0,no,yes,yes,6,13,14,14
VPS,F,16,other,other,mother,3,2,0,yes,no,yes,4,8,10,10
VPS,M,17,services,services,mother,1,1,3,no,no,yes,16,6,5,5
VPS,M,16,health,other,father,1,1,0,no,yes,yes,4,8,10,10
VPS,M,15,teacher,other,mother,1,2,0,no,no,no,0,13,14,15
VPS,M,15,health,health,father,1,1,0,no,yes,no,0,12,15,15
VPS,M,16,teacher,other,mother,1,2,0,no,no,yes,2,15,15,16
VPS,M,16,other,other,mother,2,2,0,no,no,yes,0,13,13,12
VPS,F,15,services,health,mother,1,3,0,yes,yes,yes,2,10,9,8
VPS,F,16,services,services,mother,1,1,2,no,yes,no,14,6,9,8
VPS,M,15,other,other,mother,1,1,0,no,yes,no,2,12,12,11
VPS,M,15,health,services,mother,1,1,0,no,yes,no,4,15,16,15
VPS,M,16,services,other,mother,1,2,0,yes,no,yes,4,11,11,11
VPS,M,16,teacher,teacher,mother,1,2,0,no,yes,yes,16,10,12,11
VPS,M,15,health,services,mother,1,2,0,no,yes,no,0,9,11,12
VPS,M,15,services,services,mother,2,2,0,no,no,yes,0,17,16,17
VPS,M,15,teacher,at_home,mother,1,2,0,no,no,yes,0,17,16,16
VPS,M,15,other,other,mother,1,2,0,no,no,yes,0,8,10,12
VPS,M,16,other,other,mother,1,1,0,no,yes,no,0,12,14,15
VPS,F,15,other,other,father,2,1,0,no,no,yes,0,8,7,6
VPS,M,15,teacher,services,mother,1,3,0,no,no,yes,2,15,16,18
VPS,M,16,other,teacher,mother,2,3,0,no,no,yes,7,15,16,15
VPS,F,15,services,health,mother,1,3,0,yes,yes,yes,2,12,12,11
VPS,F,15,at_home,other,mother,1,1,0,yes,yes,yes,8,14,13,13
VPS,F,16,other,other,mother,2,2,1,no,no,yes,25,7,10,11
VPS,M,15,teacher,other,other,1,1,0,no,no,no,8,12,12,12
VPS,M,15,services,teacher,father,1,2,0,no,no,yes,2,19,18,18
VPS,M,15,services,services,father,1,1,0,yes,no,no,0,8,8,11
VPS,F,16,other,at_home,father,2,2,1,yes,no,yes,14,10,10,9
VPS,F,15,other,other,mother,1,2,0,yes,yes,yes,8,8,8,6
VPS,F,16,other,services,mother,1,2,0,no,no,no,12,11,12,11
VPS,M,16,health,services,mother,1,4,0,no,no,yes,4,19,19,20
VPS,M,15,teacher,other,mother,1,2,0,no,yes,no,2,15,15,14
VPS,F,15,services,teacher,father,1,2,1,yes,no,yes,2,7,7,7
VPS,F,16,services,services,mother,3,2,0,no,yes,no,2,12,13,13
VPS,F,15,health,other,mother,1,2,0,no,yes,no,2,11,13,13
VPS,M,15,health,health,father,2,1,1,no,no,no,6,11,11,10
VPS,F,15,services,services,mother,1,1,0,yes,yes,no,0,8,10,11
GP,F,15,other,other,mother,1,1,0,no,yes,no,6,10,13,13
GP,F,16,other,other,mother,1,2,0,no,yes,yes,8,8,9,10
GP,F,15,services,services,mother,1,2,0,no,yes,yes,0,14,15,15
CHINA,M,15,teacher,health,mother,1,2,0,no,no,yes,4,14,15,15
